,0,1,2,3
0,,,,
1,1,Romance Dawn - The Dawn of the Adventure,"July 19, 1997",53
2,2,"That Guy, ""Straw Hat Luffy""","July 28, 1997",23
3,3,"Introducing ""Pirate Hunter Zoro""","August 4, 1997",21
4,4,"Marine Captain ""Axe-Hand Morgan""","August 11, 1997",19
5,5,Pirate King and Master Swordsman,"August 25, 1997",19
6,6,The First Crew Member,"September 1, 1997",23
7,7,Friends,"September 8, 1997",20
8,8,Introducing Nami,"September 13, 1997",19
9,9,The Devil Girl,"September 22, 1997",21
10,10,The Incident at the Bar,"September 29, 1997",23
11,11,Take Flight,"October 6, 1997",19
12,12,Dog,"October 13, 1997",21
13,13,Treasure,"October 20, 1997",19
14,14,Reckless!!,"October 27, 1997",19
15,15,Gong,"November 1, 1997",19
16,16,Versus!! The Buggy Pirate Crew,"November 10, 1997",17
17,17,Character,"November 17, 1997",20
18,18,"Pirate ""Buggy the Clown""","November 22, 1997",19
19,19,Devil Fruit,"December 1, 1997",19
20,20,A Thief's Philosophy,"December 8, 1997",19
21,21,Town,"December 22, 1997",19
22,22,You're the Rare Breed,"January 5, 1998",29
23,23,Captain Usopp Appears,"January 12, 1998",19
24,24,Things That Can't Be Faked,"January 19, 1998",19
25,25,800 Lies,"January 26, 1998",19
26,26,Captain Kuro's Plan,"February 2, 1998",19
27,27,Plan,"February 9, 1998",21
28,28,Crescent Moon,"February 16, 1998",19
29,29,Hill Road,"February 23, 1998",21
30,30,Great!!!,"March 2, 1998",19
31,31,Truth,"March 9, 1998",19
32,32,Disaster,"March 16, 1998",19
33,33,The Silent Man,"March 23, 1998",19
34,34,Klahadore the Butler,"March 30, 1998",19
35,35,Neo Hill Road,"April 6, 1998",19
36,36,Follow Them!!,"April 13, 1998",21
37,37,"The Pirate, ""Kuro of a Hundred Plans""","April 20, 1998",19
38,38,Pirate Crew,"April 27, 1998",20
39,39,For Whom the Bell Tolls,"May 11, 1998",19
40,40,The Usopp Pirates,"May 18, 1998",19
41,41,To the Sea,"May 25, 1998",18
42,42,Yosaku and Johnny,"June 1, 1998",19
43,43,Introducing Sanji,"June 8, 1998",19
44,44,Three Cooks,"June 15, 1998",20
45,45,Before the Storm,"June 22, 1998",18
46,46,An Uninvited Guest,"June 29, 1998",19
47,47,"Pirate Fleet Admiral ""Don Krieg""","July 6, 1998",19
48,48,Leave That Path Alone,"July 13, 1998",19
49,49,The Storm,"July 18, 1998",18
50,50,Every One is a Road,"July 27, 1998",19
51,51,Roronoa Zoro Falls Into the Sea,"August 3, 1998",19
52,52,The Oath,"August 10, 1998",20
53,53,Sabagashira No. 1,"August 24, 1998",19
54,54,Pearl-san,"August 31, 1998",19
55,55,Jungle Blood,"September 7, 1998",19
56,56,No Way,"September 14, 1998",20
57,57,Because of Dreams,"September 21, 1998",19
58,58,Old Fart,"September 28, 1998",19
59,59,Obligation,"October 5, 1998",19
60,60,Between Right and Wrong,"October 12, 1998",19
61,61,Demon,"October 19, 1998",20
62,62,M-H-5,"October 26, 1998",19
63,63,I Ain't Gonna Die,"November 2, 1998",19
64,64,Giant Battle Spear,"November 9, 1998",18
65,65,Prepare,"November 16, 1998",19
66,66,The Spear Is Stifled,"November 21, 1998",19
67,67,Soup,"November 30, 1998",19
68,68,The Fourth Person,"December 7, 1998",19
69,69,Arlong Park,"December 19, 1998",20
70,70,Usopp's Great Manly Adventure,"January 4, 1999",20
71,71,King of the Beasts,"January 11, 1999",19
72,72,Appropriate,"January 18, 1999",19
73,73,"The Monster from the ""Grand Line""","January 25, 1999",19
74,74,Business,"February 1, 1999",19
75,75,Sea Charts and Fishman,"February 8, 1999",19
76,76,Sleep,"February 15, 1999",19
77,77,One Step of the Dream,"February 22, 1999",19
78,78,Bell-mère-san,"March 1, 1999",19
79,79,Survive,"March 8, 1999",19
80,80,A Crime Is a Crime,"March 15, 1999",19
81,81,Tears,"March 20, 1999",19
82,82,"OK, Let's Stand Up!","March 29, 1999",19
83,83,Luffy In Black,"April 5, 1999",19
84,84,Zombie,"April 12, 1999",19
85,85,Three-Sword Style vs. Six-Sword Style,"April 19, 1999",19
86,86,Chivalry vs. Fishman Karate,"April 26, 1999",20
87,87,It's Over!!,"May 10, 1999",19
88,88,Die!!!,"May 17, 1999",19
89,89,Switch,"May 24, 1999",19
90,90,What Can You Do?,"May 31, 1999",19
91,91,Darts,"June 7, 1999",19
